address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"12th Main Road, Indiranagar, Bangalore",Ciclo Cafe,Yes,No,4.3/5,1283,"00 08048664512
+91 7829278585",Indiranagar,"Cafe, Casual Dining","Pizza, Cheesy Fries, Tiramisu, Ravioli Pasta, Salads, Cocktails, Burgers","Cafe, Italian, American","1,000",
 ('Rated 3.0', 'RATED\n  Good ambience, efficient service (though you have to call out for them once in a while), and lovely food. I love their banoffee pie (must warn you though it is literally a rush of sugar entering your tummy). Love the way they present the pie. Good place to hang out. However, avoid the juice though. Had the watermelon one last week and it is not worth the price they charge. \nService: 3/5\nAmbience: 4/5\nFood: 3/5\nValue for money: 3/5'), ('Rated 3.0'," """"RATED\n  Firstly theme is what really impressed me! Like the name says it's cycle themed cafe with food",drinks and cycle accessories. Ambience is really cool," from cycling accessories to cycles and walls decorated with rims. It's really unique. Food was decent the full house cyclo pizza I tried was really good and tried ravioli for the first time and it was okay becoz it was less spicy. Overall a good food place with excellent Ambience and service."""")", ('Rated 4.0'," """"RATED\n  The ambience is too good here. I will rate 5 out if 5 for the ambience.\nWe were 2 and had chicken onion rings and nachos. We wanted to have burger as well", but the nachos was really really heavy. Even the chicken ring was heavy. Don't know if we were not hungry," """"RATED\n  Absolutely loved the place. We ordered Nachos"
"2, Arekempenahalli, Near Brand Factory Wilson Garden, Wilson Garden, Bangalore",Hotel Empark,Yes,No,3.4/5,16,"080 32442255
+91 7026272255",Wilson Garden,Casual Dining,,"Chinese, North Indian, Arabian",800,Delivery
"1A, Church Street, Bangalore",Wolf'ish,Yes,No,4.1/5,459,"+91 9113097489
+91 8041219222",Church Street,Cafe,"Burgers, Fries, Mojito, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken","Cafe, American, Italian, Pizza, Burger",700,
 ('Rated 4.0'," """"RATED\n  So we saw this place while walking on church street and give it a try .\nAmbience was nice..very casual and good service.\nWe ordered pizza and a peri peri burger ..great food came pretty early and was really fresh .\nI really enjoyed the food. The only issue I had was they put in a service charge without asking..they haven't mentioned this before hand\nOverall I would go again..."""")", ('Rated 4.0', 'RATED\n  I wanted to try out some burgers or subs and I went to this place on Church Street. I ordered a Philly cheese steak hoagie with some fries and a salted caramel milkshake. The hoagie was really tasty and filling. The fries were not crispy enough. The milkshake was really good. This place is new and should be visited for those who want good subs.'), ('Rated 4.0'," """"RATED\n  This is a cozy little spot along Church Street", and right below Easy Tiger. We went in pretty late for beer, fries and burgers. The service stood out and the food was fine, although the 'piri-piri' fries were just fries loaded with chilli powder. The place has stools around rather than chairs. Overall," looks to be a nice spot to just chill with some good friends."""")", ('Rated 5.0', 'RATED\n  This place has amazing Burgers. It?s very delicious and value for money. We ordered Chicken Peri Peri Burger and Chicken Lasagna both were absolutely fantastic. Must visit and try it.')," surprisingly the place wasn't crowded and we got to choose our table. The ambiance is decent with some vintage look to it. The service was okay. The food was okay and there was nothing special on the menu which was special only to this restaurant. Overall experience was average.\n\nTaste: 3\nAmbiance: 4\nService: 3\nValue for money: 3"""")"
"69, 1st Floor, M.M Road, Frazer Town, Bangalore",Alibaba Cafe and Restaurant,Yes,No,3.9/5,450,"080 40917163
+91 9880896634",Frazer Town,Casual Dining,"Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice","Arabian, Middle Eastern",700,Delivery
"2, Shah Sultan Complex, Cunningham Road, Bangalore",Infinitea Tea Room & Tea Store,Yes,Yes,4.3/5,858,"080 41148428
080 41148810",Cunningham Road,"Casual Dining, Cafe","Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos","1,000",Delivery
"3, Cambridge Layout, Opposite Frank Anthony Public School, Ulsoor, Bangalore",Goli Vada Pav No. 1,Yes,No,3.5/5,33,"080 41216684
+91 9886953331",Ulsoor,Quick Bites,,Street Food,200,Delivery
"3137/A, 7th Main, HAL 2nd Stage, Off Double Road, Indiranagar, Bangalore",Ooty Chocolates,Yes,No,3.8/5,55,"080 41154280
+91 9845819592",Indiranagar,Dessert Parlor,,Desserts,300,Delivery
"7&8, KSV Nilaya Complex, Miller's Road, Vasanth Nagar, Bangalore",Arya Bhavan Sweets,Yes,No,3.2/5,9,+91 9738243884,Vasanth Nagar,"Sweet Shop, Quick Bites",,"Mithai, Street Food, North Indian",300,Delivery
"2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Amande Patisserie,Yes,No,4.2/5,231,080 40981668,Lavelle Road,"Bakery, Dessert Parlor","Macaroon, Fruit Tart, Opera Cake, Belgian Dark Chocolate, Orange Tart, Eclair, Chocolate Mousse","Bakery, French, Desserts",300,Delivery
"G 35A, Ground Floor, Brigade Gardens, Off Brigade Road, Church Street, Bangalore",Qissa Khawani,Yes,No,4.4/5,319,+91 9886414122,Church Street,Casual Dining,"Lassi, Paratha, Chicken Tikka, Mutton Pulao, Dal Makhani, Garlic Naan, Kheer","North Indian, Mughlai",800,Delivery
"1, 1st Floor, Church Street, Bangalore",Ayda Persian Kitchen,Yes,No,3.9/5,224,"080 41478209
080 25586522",Church Street,Casual Dining,"Roti, Naan, Butter Chicken, Biryani, Saffron Rice, Mutton Kebab, Lassi","North Indian, Iranian",950,Delivery
"237-240, Ground Floor, 13th Cross, 2nd Stage, Off Double Road, Indiranagar, Bangalore",Sri Krishna Sweets,Yes,No,3.7/5,32,080 25272842,Indiranagar,Sweet Shop,,Mithai,250,Delivery
"27, Dickenson Road, Commercial Street, Bangalore",Tewari Bros Mithai Shoppie,Yes,No,3.8/5,59,"+91 9341252685
080 25542685",Commercial Street,Sweet Shop,"Dhokla, Raj Kachori, Rabri","Fast Food, Mithai",300,Delivery
"649, CMH Road, Indiranagar, Bangalore",Kolkatta Famous Chat,Yes,No,3.7/5,23,+91 9945412108,Indiranagar,Quick Bites,,"Street Food, North Indian",100,Delivery
"Ground Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",Cookie Man,Yes,No,3.4/5,36,080 41126710,Brigade Road,Dessert Parlor,,Bakery,150,Delivery
"HM Towers, 58, Brigade Road, Bangalore",Cafe Coffee Day,Yes,No,3.3/5,65,+91 9071380559,Brigade Road,Cafe,Cappuccino,"Cafe, Fast Food",900,Delivery
"99, Shivaji Road, Rajiv Gandhi Colony, Shivajinagar, Bangalore",Kabab Mela,Yes,No,,0,"+91 8105395444
+91 7795425885",Shivajinagar,Quick Bites,,"North Indian, Chinese, Kebab",300,Delivery
"3rd Floor, Guarda Mall, Ashok Nagar, Near Brigade Road, Bangalore",Vinny's,Yes,No,3.9/5,206,+91 8951237163,Brigade Road,Casual Dining,"Pizza, Pasta, Mozzarella Sticks, Mocktails, Tiramisu, Fries, Salad","Pizza, Italian, Continental, Desserts",800,Delivery
"12, Near Ulsoor Lake, Ulsoor, Bangalore",Sagar Delicacy,Yes,No,3.9/5,87,080 41471383,Ulsoor,Casual Dining,"Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food",500,Delivery
"Ground Floor, Genesis Food, Devatha Plaza, Residency Road, Bangalore",Platter,Yes,No,2.9/5,26,"080 22233535
080 22243535",Residency Road,Quick Bites,,"Street Food, Juices",300,Delivery
"4, HK, Shivajinagar, Bangalore",Savera Lassi Shop,Yes,No,,0,+91 8884382518,Shivajinagar,Beverage Shop,,"Beverages, Juices",100,Delivery
"St Patricks Complex, 2nd Floor, Brigade Road, Ashok Nagar",The Adukkala Restaurant,Yes,No,3.6/5,40,"+91 9845765017
+91 9980225321",Brigade Road,Casual Dining,,Kerala,500,Delivery
"1st Floor, 8/6 Kensington Point, Ulsoor Road, Ulsoor, Bangalore",Carnival de Goa,Yes,Yes,4.2/5,980,"+91 7676767620
+91 9342412040",Ulsoor,"Casual Dining, Bar","Sea Food, Spicy Crab Soup, Cocktails, Squid Fry, Prawn Curry, Lobster, Fish Curry","Goan, Mangalorean, Pizza","1,000",Delivery
"43, 44, 45, Opposite Space Centre, Brigade Road, Bangalore",McDonald's,Yes,No,3.7/5,184,"+91 9620206951
080 66000666",Brigade Road,Quick Bites,"Burgers, Mc Spicy Chicken, Chicken Burger, Maharaja Mac","Burger, Fast Food",500,Delivery
"14, St. Mark's Plaza, St. Marks Road, Bangalore",Northern Route,Yes,No,4.1/5,159,+91 9663708213,St. Marks Road,Quick Bites,"Paratha, Paneer Pakora, Chole Bhature, Rajma Chawal, Chaach, Lassi, Buttermilk","North Indian, Street Food",300,Delivery
"4, Opposite St Joseph College, Gate 1 Langford Road, Shanti Nagar, Bangalore",Quench & Crunch,Yes,No,3.6/5,21,"+91 9986310251
+91 9742100555",Shanti Nagar,Beverage Shop,,"Beverages, Fast Food",150,Delivery
"4, St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",INDULGE by InnerChef,Yes,No,3.5/5,27,"080 49595676
+91 9986507832",Indiranagar,Bakery,,"Desserts, Bakery",400,Delivery
"9, 4th Floor, Halcyon Complex, St. Marks Road, Bangalore",The Open Box,Yes,Yes,4.2/5,2270,"+91 9008993666
+91 7022211100",St. Marks Road,"Casual Dining, Bar","Mocktails, Cocktails, Pizza, Butter Chicken Burger, Paan Ice Cream, Sangria, Margarita","European, North Indian, Mediterranean, Asian, Salad","1,400",
 ('Rated 4.0'," """"RATED\n \nA rooftop restaurant in St. Mark's road. Nice", open ambience with a pool table. Fairly good selection of items. We ordered hummosa, Mexican croquettes, papdi chaat nachos, wedges, veg manchurian pizza and fettusuey. Hummosa was my personal favourite, a tasty fusion of hummus and samosa. Wedges were standard, as you'd find in any other place. Croquettes and nachos were good too. The pizza was a miss, the combination of manchurian and pizza just did not go together at all. Fettusuey was really good," definitely recommend. Good experience!"""")", ('Rated 5.0', 'RATED\n  Really comfortable place that has a nice feel to it. The menu is pretty different in terms of cuisine. We had the TOB minced cutlets that were potato cutlets stuffed with minced meat
"120, 4th Floor, Lancer Building, Brigade Road, Bangalore",Double Decker,No,Yes,4.3/5,2651,"+91 9880322441
+91 8861588823",Brigade Road,"Bar, Casual Dining","Bbq Pizza, Pasta, Sangria, Cocktails, Mocktails, Virgin Mojito, Potato Wedges","Continental, North Indian","1,300",
 ('Rated 3.0'," """"RATED\n  I got to know about the place from my sister who had a good experience there.so I suggested my friend for birthday as she was new to Bangalore. We went there on Friday night and we booked the table in prior.\nThey gave us a seat behind the screen where sport screening was done.so this was a very dark",lonely place somewhere in the corner with no lights,"no proper sound of the music.we asked them to change like 2-3 times but they didn't.It was very difficult to call the waiters everytime we wanted to ordered as no one was paying attention to that corner.\nOverall the experience was bad.\nAs we left the place in approx half and hour."""")", ('Rated 4.0'," """"RATED\n  We went for a friend's birthday to this place. That was a weekday probably so there weren't many people. The staff was courteous and service was quick. Food was good"," but can be improvised. I personally didn't like the plates used for serving."""")", ('Rated 4.0'," """"RATED\n  This is a decent place with reasonable pricing plus gold benefits.\nAmbience is not that great just a rooftop place and they have swing chairs which is good but the table height and swing chair doesn't matches as you sit low.\nOpt for a better alternative seating and it's good. The order does takes time so be patient", the guy almost forgot that he had to get us the pizza.\nThin crust pizza was good over all, virgin mojito is more of water equipped.\nDoesn't burn the pocket ,definitely a chill place to hangout.\nOh they do serve hookah too, 'RATED\n  Nice rooftop setting located at the entrance of MG road
"Choice Collections, Dispensary Road, Tasker Town, Commercial Street, Bangalore",Chickpet Donne Biryani House,Yes,No,3.7/5,44,"080 43757549
+91 9845317590",Commercial Street,Quick Bites,,Biryani,250,Delivery
"2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Toscano,Yes,Yes,4.4/5,1840,"080 41738800
+91 7619320071",Lavelle Road,Casual Dining,"Pizza, Pepperoni, Wine, Salads, Tiramisu, Chicken Bruschetta, Sangria","Italian, Salad","1,500",
"  soft music and the candle lite on the table adds memories to your experience. They do have a beautiful wine collection to enhance your taste buds. \nService was quick and the wait staff were well versed with the menu.  Kudos Toscano"""")", ('Rated 4.0', 'RATED\n  Amazing ambience and food. Food is done up to perfection. One of the oldest Italian place in town. They will never fail to deliver good food!'), ('Rated 4.0', 'RATED\n  It?s one of the best Italian cuisine restaurants in the city\nI absolutely love the ambience and food and the service too\nNo issues on that\nPrices are high on the other hand\nThey have pure Italian food both veg and non veg\nI chose\n1. Cold coffee: just like any other coffee\n2. Starter: Sicilian starter crispy cheesy rice balls with side salad and fries\nIt?s good but salsa should be served more\n3: main course : we had opted for vegetariana pizza on wheat crust it was to die for yummy\n4: they serve complimentary bread platter with salsa and basil oil it?s good too\n5: deserts: if you miss the dessert you miss everything\nThe presentations are bang on\nWe ordered classic tiramisu which was the best ever\nAnd a chocolate brownie fudge it was delicious too\nRecommended'), ('Rated 5.0', 'RATED\n  Me and my better half Plan to go back to UB City for dinner in rainy day . No plan what to have moving around all the restaurant to find out appropriate place where we can spend good time with food and atmosphere. We find green and white place with server are moving around with pizza , pasta , steak , Dessert the decorations of the plate the flavour off the food make us the day spend at Toscano .\n\nWe start with Toscano Signature Goat cheese salad, oh my god it?s fresh crispy proper dressing .\n\nIn main had Lamb chop and Atlantic Salmon . I don?t have word to say , you must come and try this havan.\n\nDessert warm apple crumble it was well accompanied with the weather and made our day with perfect service of full fullness day . Thanks to the team for giving us memorable experience.\n\nWe will look forward to dine and explore your food more .'), which was decent to enjoy for a change.\n\nWhat we had:\nMargherita (classic but the base seemed really chewy. The pizza was light
"4, St Mary's Building, 39/1, 2nd Stage, Indiranagar, Bangalore",Foreign CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â©,Yes,No,3.1/5,54,"080 49595676
+91 9986507832",Indiranagar,Delivery,"Burgers, Pasta, Sandwiches",Continental,500,
 ('Rated 2.0', 'RATED\n  There was absolutely nothing to rave about burger, pasta was a joke I had to recoock as there was no salt ..and cheese I dought it had any any rating is only for delivery'), ('Rated 3.5', 'RATED\n  Pasta Arrabaita was not really how real Italian Arrabaita is supposed to be (it was too oily and lot of cheese added). But it tasted good. Better to have just called it some other desi version of pasta to be more accurate to the look and taste of it :)'), ('Rated 4.0', 'RATED\n  Ordered food from here... Nothing fancy couple of sandwiches, coffee (cold) and a pastry... Good food for a reasonable price.. Was tasty and different from what you typically get. Interesting combinations\n\nWill visit this place soon and review the place in more detail... As of now fairly tasty and impressive menu'), ('Rated 3.5'," """"RATED\n  Recently tried the big bang burger here"," since they were throwing a generous buy 1 get 1 free offer.\n\nFor the price of 200 bucks (without any discount) I wouldn't say it did justice to the burger served. I have had better ones at the price and the burger did not have any USP (my opinion).\n\nPackaging was nicely done and on time delivery."""")", ('Rated 4.5', 'RATED\n  There was absolutely nothing to rave about burger
"542, 1st Floor, CMH Road, Indiranagar Metro Station, Indiranagar, Bangalore",Dakshin Biryani & Tiffin,Yes,No,3.4/5,334,"+91 9844037347
+91 9844747347",Indiranagar,Casual Dining,"Biryani, Multi Grain Dosa, Kheer, Egg Bhurji, Sooji Halwa, Tamarind Chicken, Coffee","Andhra, South Indian, North Indian",550,Delivery
"Airlines Hotel, 4, Madras Bank Road, Lavelle Road Area, Lavelle Road, Bangalore",Pizza Stop,Yes,No,3.5/5,73,+91 8046640404,Lavelle Road,Kiosk,"Pizza, Pasta, Garlic Bread, Nachos","Pizza, Italian",600,Delivery
"37/1, 3rd, 4th, 5th Floor. Oppsite Sigma Mall, Cunningham Road, Bangalore",Mudpipe Cafe,Yes,No,4.2/5,739,+91 9886140111,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750,Delivery
"93, Mosqe Road, Frazer Town, Bangalore",Baskin Robbins,Yes,No,3.1/5,21,080 41148553,Frazer Town,Dessert Parlor,,"Ice Cream, Desserts",250,Delivery
"39, Coles Road, Cleveland Town, Pulikeshi Nagar, Bangalore",Robin Brown Ice Cream,Yes,No,,0,+91 9902377771,Frazer Town,Dessert Parlor,,Desserts,250,Delivery
"18, First Floor, Ramanashree Arcade, MG Road, Bangalore",Fabcafe,Yes,Yes,4.1/5,54,080 49652772,MG Road,Cafe,,"Cafe, Healthy Food",800,Delivery
"24, Ground Floor, Canberra Block, The Collection, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",Chocolate D'Luxe,Yes,No,4.1/5,183,"080 41214925
+91 7795572079",Lavelle Road,Dessert Parlor,"Coffee, Sandwiches, Hot Chocolate, Tiramisu, Latte, Cup Cake, Brownie",Desserts,550,Delivery
"Shop 101, Main Road, Ashok Nagar, Brigade Road, Bangalore",Chilli Chicken,Yes,No,3.1/5,7,+91 7204005024,Brigade Road,Quick Bites,,Fast Food,500,Delivery
